sample_name	site	replicate	barcode	sample_type	sample_set	control_type	depth_m	elevation_m	temperature_c	conductivity_ms	lat	lon	collection_date	description
C9_1_A	C9	1	Kinnex16S_Fwd_03--Kinnex16S_Rev_21	sediment	transect		1050	485			35.33213	24.08346	2022-08-09	Sediment sample from at -1050 m depth from black biofilm
C9_2_A	C9	2	Kinnex16S_Fwd_03--Kinnex16S_Rev_22	sediment	transect		1050	485			35.33213	24.08346	2022-08-09	Sediment sample from at -1050 m depth from black biofilm
C9I_1_A	C9_I	1	Kinnex16S_Fwd_06--Kinnex16S_Rev_25	sediment	isolate_source		1050	485			35.33213	24.08346	2022-08-09	Sediment sample from at -1050 m depth from black biofilm also used for isolates
C9I_2_A	C9_I	2	Kinnex16S_Fwd_06--Kinnex16S_Rev_26	sediment	isolate_source		1050	485			35.33213	24.08346	2022-08-09	Sediment sample from at -1050 m depth from black biofilm also used for isolates
C8_1_A	C8	1	Kinnex16S_Fwd_02--Kinnex16S_Rev_27	sediment	transect		1100	435			35.33213	24.08346	2022-08-09	Sediment sample from at -1100 m depth from the last siphon
C8_2_A	C8	2	Kinnex16S_Fwd_02--Kinnex16S_Rev_28	sediment	transect		1100	435			35.33213	24.08346	2022-08-09	Sediment sample from at -1100 m depth from the last siphon
C8I_1_A	C8_I	1	Kinnex16S_Fwd_06--Kinnex16S_Rev_23	sediment	isolate_source		1100	435			35.33213	24.08346	2022-08-09	Sediment sample from at -1100 m depth from the last siphon also used for isolates
C8I_2_A	C8_I	2	Kinnex16S_Fwd_06--Kinnex16S_Rev_24	sediment	isolate_source		1100	435			35.33213	24.08346	2022-08-09	Sediment sample from at -1100 m depth from the last siphon also used for isolates
W1_1_A	W1	1	Kinnex16S_Fwd_03--Kinnex16S_Rev_23	water	transect		433	1102	6.6	187.2	35.33213	24.08346	2022-08-09	Freshwater sample under the base of Leon pit
W1_2_A	W1	2	Kinnex16S_Fwd_03--Kinnex16S_Rev_24	water	transect		433	1102	6.6	187.2	35.33213	24.08346	2022-08-09	Freshwater sample under the base of Leon pit
W2_1_A	W2	1	Kinnex16S_Fwd_03--Kinnex16S_Rev_25	water	transect		677	858	7.3	178.6	35.33213	24.08346	2022-08-09	Freshwater sample at the first syphon
W2_2_A	W2	2	Kinnex16S_Fwd_03--Kinnex16S_Rev_26	water	transect		677	858	7.3	178.6	35.33213	24.08346	2022-08-09	Freshwater sample at the first syphon
W3_1_A	W3	1	Kinnex16S_Fwd_03--Kinnex16S_Rev_27	water	transect		763	772	7.6	188.5	35.33213	24.08346	2022-08-09	Freshwater sample at Marcel waterfall
W3_2_A	W3	2	Kinnex16S_Fwd_03--Kinnex16S_Rev_28	water	transect		763	772	7.6	188.5	35.33213	24.08346	2022-08-09	Freshwater sample at Marcel waterfall
W4_1_A	W4	1	Kinnex16S_Fwd_04--Kinnex16S_Rev_21	water	transect		903	632	7.9	188.5	35.33213	24.08346	2022-08-09	Freshwater sample at -903 under water curtain
W4_2_A	W4	2	Kinnex16S_Fwd_04--Kinnex16S_Rev_22	water	transect		903	632	7.9	188.5	35.33213	24.08346	2022-08-09	Freshwater sample at -903 under water curtain
W5_1_A	W5	1	Kinnex16S_Fwd_04--Kinnex16S_Rev_23	water	transect		1100	435	195.9	8.4	35.33213	24.08346	2022-08-09	Freshwater sample at the last syphon at -1100 m depth
W5_2_A	W5	2	Kinnex16S_Fwd_04--Kinnex16S_Rev_24	water	transect		1100	435	195.9	8.4	35.33213	24.08346	2022-08-09	Freshwater sample at the last syphon at -1100 m depth
