Checklist	ERC000024:1.8	GSC MIxS water																
tax_id	scientific_name	sample_alias	sample_title	sample_description	sample collection device	sample storage temperature	project name	collection date	altitude	geographic location (latitude)	geographic location (longitude)	broad-scale environmental context	local environmental context	environmental medium	geographic location (country and/or sea)	conductivity	temperature	depth
#units						°C			m	DD	DD					mS/cm	ºC	m
449393	freshwater metagenome	W1	Freshwater sample under the base of Leon pit	Freshwater sample under the base of Leon pit	Sterivex filter units 0.22 _m pore size	-20	Gourgouthakas cave metagenomics	2022-08-09	1102	35.33213	24.08346	karst cave (ENVO_00012411)	pond (ENVO_00000033)	groundwater (ENVO_00005792)	Greece	187.2	6.6	433
449393	freshwater metagenome	W2	Freshwater sample at the first siphon	Freshwater sample at the first syphon	Sterivex filter units 0.22 _m pore size	-20	Gourgouthakas cave metagenomics	2022-08-09	858	35.33213	24.08346	karst cave (ENVO_00012411)	pond (ENVO_00000033)	groundwater (ENVO_00005792)	Greece	178.6	7.3	677
449393	freshwater metagenome	W3	Freshwater sample at Marcel waterfall	Freshwater sample at Marcel waterfall	Sterivex filter units 0.22 _m pore size	-20	Gourgouthakas cave metagenomics	2022-08-09	772	35.33213	24.08346	karst cave (ENVO_00012411)	waterfall (ENVO_00000040)	groundwater (ENVO_00005792)	Greece	188.5	7.6	763
449393	freshwater metagenome	W4	Freshwater sample at -903 m depth under water curtain	Freshwater sample at -903 under water curtain	Sterivex filter units 0.22 _m pore size	-20	Gourgouthakas cave metagenomics	2022-08-09	632	35.33213	24.08346	karst cave (ENVO_00012411)	waterfall (ENVO_00000040)	groundwater (ENVO_00005792)	Greece	188.5	7.9	903
449393	freshwater metagenome	W5	Freshwater sample at the last siphon at -1100 m depth	Freshwater sample at the last syphon at -1100 m depth	Sterivex filter units 0.22 _m pore size	-20	Gourgouthakas cave metagenomics	2022-08-09	435	35.33213	24.08346	karst cave (ENVO_00012411)	pond (ENVO_00000033)	groundwater (ENVO_00005792)	Greece	8.4	195.9	1100
